start_date,end_date,return
2019-01-22,2019-01-30,0.0061754576024593
2019-01-31,2019-02-11,0.016364326803111284
2019-02-12,2019-02-20,0.02466535196377806
2019-02-21,2019-02-28,0.04008004252311914
2019-03-01,2019-03-11,0.06014721297455061
2019-03-12,2019-03-20,0.010035523343761232
2019-03-21,2019-04-10,0.017875631013415383
2019-04-11,2019-04-22,-0.019158956773344782
2019-04-23,2019-04-30,-0.0359420166095491
2019-05-06,2019-05-10,-0.0058691161201168685
2019-05-13,2019-05-20,-0.011990063071748658
2019-05-21,2019-05-30,-0.004296494413281393
2019-05-31,2019-06-10,-0.018988942481003912
2019-06-11,2019-06-20,0.02279417439400855
2019-06-21,2019-07-10,0.010211632206450494
2019-07-11,2019-07-22,0.014721153743959547
2019-07-23,2019-07-30,0.026309443079140182
2019-07-31,2019-08-12,-0.000374822598486535
2019-08-13,2019-08-20,0.030255715033799202
2019-08-21,2019-08-30,0.00901554936692639
2019-09-02,2019-09-10,0.038118910214275825
2019-09-11,2019-09-20,-0.00745228623055616
2019-09-23,2019-09-30,-0.017039629461094052
2019-10-08,2019-10-10,0.013818337793164659
2019-10-11,2019-10-21,-0.0003601822669269117
2019-10-22,2019-10-30,0.023334015794667762
2019-10-31,2019-11-11,0.0028565974202550137
2019-11-12,2019-11-20,0.003128241750065097
2019-11-21,2019-12-10,0.007046000335364733
2019-12-11,2019-12-20,0.02364891284911108
2019-12-23,2019-12-30,0.0001578851596943931
2019-12-31,2020-01-10,0.03607272663472405
2020-01-13,2020-01-20,0.02015342262186892
2020-01-21,2020-02-10,0.05436212761147741
2020-02-11,2020-02-20,0.06396802980206329
2020-02-21,2020-03-10,0.0014812881208592366
2020-03-11,2020-03-20,0.057479553346555745
2020-03-23,2020-03-30,-0.034394684996884695
2020-03-31,2020-04-10,0.0024900243891026186
2020-04-13,2020-04-20,0.09002840990163463
2020-04-21,2020-04-30,-0.005721277339106212
2020-05-06,2020-05-11,0.004021884513009777
2020-05-12,2020-05-20,-0.046009306759594026
2020-05-21,2020-06-10,0.014530279814898073
2020-06-11,2020-06-22,0.014816721796697685
2020-06-23,2020-06-30,-0.006484338310929871
2020-07-01,2020-07-10,0.10394225602311846
2020-07-13,2020-07-20,-0.0052956956746417205
2020-07-21,2020-07-30,0.018100062138617146
2020-07-31,2020-08-10,0.007231892209921709
2020-08-11,2020-08-20,0.0014581057147420307
2020-08-21,2020-08-31,-0.00408550780316419
2020-09-01,2020-09-10,-0.01651567500983986
2020-09-11,2020-09-21,0.008324103796977678
2020-09-22,2020-09-30,-0.01945220101776679
2020-10-09,2020-10-12,0.024948351042750838
2020-10-13,2020-10-20,0.005727565904118936
2020-10-21,2020-10-30,-0.014239583824451563
2020-11-02,2020-11-10,0.018126223312092682
2020-11-11,2020-11-20,-0.0010011604604843738
2020-11-23,2020-11-30,0.003426252480019487
2020-12-01,2020-12-10,-0.019147971995007618
2020-12-11,2020-12-21,-0.006681209372764618
2020-12-22,2020-12-30,-0.005039872541500179
2020-12-31,2021-01-11,-0.0016022280636536212
2021-01-12,2021-01-20,0.011487526230793188
2021-01-21,2021-02-10,-0.04546892071834574
2021-02-18,2021-02-22,0.0645928362319903
2021-02-23,2021-03-10,0.01993342029251277
2021-03-11,2021-03-22,0.02213875759751649
2021-03-23,2021-03-30,0.01612345252734526
2021-03-31,2021-04-12,0.0031810918249197684
2021-04-13,2021-04-20,0.01128586271468457
2021-04-21,2021-04-30,0.00792666890575866
2021-05-06,2021-05-10,0.022284289086154097
2021-05-11,2021-05-20,0.01178110854067227
2021-05-21,2021-05-31,0.023308722058253073
2021-06-01,2021-06-10,0.008821208290576976
2021-06-11,2021-06-21,-0.010261615884370467
2021-06-22,2021-06-30,0.014459923678879383
2021-07-01,2021-07-12,0.019706085576967736
2021-07-13,2021-07-20,0.02353146950722218
2021-07-21,2021-07-30,-0.0048367078193404245
2021-08-02,2021-08-10,0.025984857251285298
2021-08-11,2021-08-20,-0.011517080769503085
2021-08-23,2021-08-30,0.04037631500106498
2021-08-31,2021-09-10,0.0385927606715053
2021-09-13,2021-09-22,-0.03599622366817623
2021-09-23,2021-09-30,-0.0171595430023056
2021-10-08,2021-10-11,0.0016518944506167532
2021-10-12,2021-10-20,0.0021561845259419066
2021-10-21,2021-11-10,0.016992251983044326
2021-11-11,2021-11-22,0.02868064351032218
2021-11-23,2021-11-30,0.015996057765494065
2021-12-01,2021-12-10,-0.0036394335246406895
2021-12-13,2021-12-20,0.0094186199834696
2021-12-21,2021-12-30,-0.0011043763656630734
2021-12-31,2022-01-10,0.022621206343115485
2022-01-11,2022-01-20,0.016394261668006616
2022-01-21,2022-02-10,0.01814906498677571
2022-02-11,2022-02-21,-0.0023943519017463055
2022-02-22,2022-02-28,0.04393298629831599
2022-03-01,2022-03-10,-0.0410221042972686
2022-03-11,2022-03-21,0.018630087965831876
2022-03-22,2022-03-30,-0.021504779699228815
2022-03-31,2022-04-11,-0.02941234153488692
2022-04-12,2022-04-20,0.01217931495371083
2022-04-21,2022-05-10,-0.00825195937485379
2022-05-11,2022-05-20,0.05499127821975058
2022-05-23,2022-05-30,-0.007701082561704653
2022-05-31,2022-06-10,0.02983667743107632
2022-06-13,2022-06-20,0.013267259199627235
2022-06-21,2022-06-30,0.05026869772568299
2022-07-01,2022-07-11,0.019680090180885346
2022-07-12,2022-07-20,0.022390724630064307
2022-07-21,2022-08-10,0.00467701210353888
2022-08-11,2022-08-22,0.0037613376461786974
2022-08-23,2022-08-30,-0.033501371682816306
2022-08-31,2022-09-13,0.00430300091453284
2022-09-14,2022-09-20,-0.028331397759849164
2022-09-21,2022-09-30,-0.03147905918668237
