start_date,end_date,return
2019-01-22,2019-01-30,0.001971680101042983
2019-01-31,2019-02-11,0.015718648551886538
2019-02-12,2019-02-20,0.027477900020841828
2019-02-21,2019-02-28,0.04179847557876015
2019-03-01,2019-03-11,0.05951164571184808
2019-03-12,2019-03-20,0.013153917819227257
2019-03-21,2019-04-10,0.01732009569070736
2019-04-11,2019-04-22,-0.01350647918906267
2019-04-23,2019-04-30,-0.05279118618733758
2019-05-06,2019-05-10,-0.010415815484455804
2019-05-13,2019-05-20,-0.012793049017963631
2019-05-21,2019-05-30,-0.00758981672673853
2019-05-31,2019-06-10,-0.023916805225573823
2019-06-11,2019-06-20,0.01869275726251729
2019-06-21,2019-07-10,0.018148614229334115
2019-07-11,2019-07-22,0.007018490521789822
2019-07-23,2019-07-30,0.030686057652375087
2019-07-31,2019-08-12,-0.00288157586806681
2019-08-13,2019-08-20,0.029586965651791752
2019-08-21,2019-08-30,0.009905375116851411
2019-09-02,2019-09-10,0.04776179684969373
2019-09-11,2019-09-20,0.0008065816104880774
2019-09-23,2019-09-30,-0.011137659105229791
2019-10-08,2019-10-10,0.01850471240044782
2019-10-11,2019-10-21,-0.0073795824924708375
2019-10-22,2019-10-30,0.01908981396496645
2019-10-31,2019-11-11,-0.010719108996250615
2019-11-12,2019-11-20,0.004050769906607465
2019-11-21,2019-12-10,0.021096950793337177
2019-12-11,2019-12-20,0.03494333134947558
2019-12-23,2019-12-30,-0.00651468248274345
2019-12-31,2020-01-10,0.05991922113181558
2020-01-13,2020-01-20,0.011522399874957623
2020-01-21,2020-02-10,0.021467983510746746
2020-02-11,2020-02-20,0.0730003171723701
2020-02-21,2020-03-10,0.04154049947820715
2020-03-11,2020-03-20,0.16249738534224645
2020-03-23,2020-03-30,-0.04863312432121214
2020-03-31,2020-04-10,-0.01891927349783107
2020-04-13,2020-04-20,0.11484939723116327
2020-04-21,2020-04-30,0.008688590636044546
2020-05-06,2020-05-11,0.012200126238688602
2020-05-12,2020-05-20,-0.03743674223155424
2020-05-21,2020-06-10,0.016916965657645777
2020-06-11,2020-06-22,0.008356094817228099
2020-06-23,2020-06-30,-0.007781617965265997
2020-07-01,2020-07-10,0.07780103681036543
2020-07-13,2020-07-20,0.015145064109385098
2020-07-21,2020-07-30,0.019074825250632532
2020-07-31,2020-08-10,0.035275344039632506
2020-08-11,2020-08-20,0.011585161013109024
2020-08-21,2020-08-31,0.0006991824731255036
2020-09-01,2020-09-10,-0.013452647117842664
2020-09-11,2020-09-21,0.0005830907996777768
